date,region,sales,unit_price,is_promo
2023-01-01,华东,909,40.58,1
2023-01-02,华东,743,39.16,0
2023-01-03,华东,734,40.21,0
2023-01-04,华东,783,39.44,0
2023-01-05,华东,780,39.64,0
2023-01-06,华东,768,40.18,0
2023-01-07,华东,891,39.74,1
2023-01-08,华东,860,39.87,1
2023-01-09,华东,662,39.34,0
2023-01-10,华东,638,39.53,0
2023-01-11,华东,726,39.65,0
2023-01-12,华东,767,40.46,0
2023-01-13,华东,766,40.66,0
2023-01-14,华东,843,39.54,1
2023-01-15,华东,839,39.35,1
2023-01-16,华东,643,39.10,0
2023-01-17,华东,642,40.29,0
2023-01-18,华东,761,40.48,0
2023-01-19,华东,727,39.41,0
2023-01-20,华东,801,39.71,0
2023-01-21,华东,854,39.90,1
2023-01-22,华东,878,39.87,1
2023-01-23,华东,673,39.59,0
2023-01-24,华东,617,39.85,0
2023-01-25,华东,677,40.76,0
2023-01-26,华东,695,39.73,1
2023-01-27,华东,799,39.90,0
2023-01-28,华东,895,40.15,1
2023-01-29,华东,836,39.97,1
2023-01-30,华东,665,40.03,0
2023-01-31,华东,629,40.00,0
2023-02-01,华东,704,39.71,0
2023-02-02,华东,746,39.57,0
2023-02-03,华东,784,39.59,0
2023-02-04,华东,902,39.86,1
2023-02-05,华东,780,40.20,1
2023-02-06,华东,688,39.92,0
2023-02-07,华东,658,39.26,1
2023-02-08,华东,681,39.90,0
2023-02-09,华东,761,39.68,0
2023-02-10,华东,776,39.64,0
2023-02-11,华东,871,40.13,1
2023-02-12,华东,889,39.42,1
2023-02-13,华东,714,40.14,0
2023-02-14,华东,676,39.91,0
2023-02-15,华东,746,39.65,0
2023-02-16,华东,779,39.99,0
2023-02-17,华东,837,40.07,0
2023-02-18,华东,936,40.19,1
2023-02-19,华东,918,40.65,1
2023-02-20,华东,715,39.58,0
2023-02-21,华东,713,39.37,0
2023-02-22,华东,751,39.82,0
2023-02-23,华东,735,39.75,0
2023-02-24,华东,747,39.78,0
2023-02-25,华东,930,40.09,1
2023-02-26,华东,878,40.17,1
2023-02-27,华东,736,40.04,0
2023-02-28,华东,693,39.97,0
2023-03-01,华东,800,40.24,0
2023-03-02,华东,741,39.70,0
2023-03-03,华东,838,39.25,0
2023-03-04,华东,919,40.34,1
2023-03-05,华东,930,39.99,1
2023-03-06,华东,738,40.16,0
2023-03-07,华东,751,40.05,0
2023-03-08,华东,768,40.09,0
2023-03-09,华东,795,39.91,0
2023-03-10,华东,858,39.93,0
2023-03-11,华东,960,40.19,1
2023-03-12,华东,912,39.69,1
2023-03-13,华东,707,39.66,0
2023-03-14,华东,749,40.27,0
2023-03-15,华东,791,39.92,0
2023-03-16,华东,739,39.50,0
2023-03-17,华东,825,40.10,0
2023-03-18,华东,1002,39.92,1
2023-03-19,华东,908,40.12,1
2023-03-20,华东,755,40.29,0
